name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mansoura, Egypt",2023-01-18,21.7,7.1,13.3,21.7,7.1,13.3,8.8,77,0,0,0,,0,0,26.6,12.6,77.8,1023.1,12.5,22.9,160.1,13.7,6,10,2023-01-18T06:52:52,2023-01-18T17:17:03,0.88,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-19,22.6,10.5,14.9,22.6,10.5,14.9,10.5,79,0,0,0,,0,0,31,14.8,64.5,1020.8,21.9,22.3,160.9,13.9,6,10,2023-01-19T06:52:37,2023-01-19T17:17:57,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-20,22.1,7,13.5,22.1,7,13.5,9,78.9,0,0,0,,0,0,19.4,9.4,305.8,1016.3,24.4,22.3,164.8,14.2,6,10,2023-01-20T06:52:20,2023-01-20T17:18:50,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-21,21.7,7.3,13.2,21.7,7,13.2,9,79.4,0,0,0,,0,0,22.3,9.7,322.9,1018,38.8,23.5,160.3,13.9,6,10,2023-01-21T06:52:02,2023-01-21T17:19:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-22,22.5,8.2,14.2,22.5,7.5,14.2,9.7,77.3,0,0,0,,0,0,24.8,12.2,351,1019.1,28.8,21.8,163.2,14.1,6,10,2023-01-22T06:51:41,2023-01-22T17:20:38,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-23,22.9,9.9,15.3,22.9,9.9,15.3,11.4,80.3,0,0,0,,0,0,33.1,16.2,19.1,1019.8,36,22.9,162.5,14.1,6,10,2023-01-23T06:51:19,2023-01-23T17:21:32,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-24,21.8,12.4,16.1,21.8,12.4,16.1,12.1,79.8,0,0,0,,0,0,36,16.9,17.6,1020.3,44.6,24.1,165.2,14.3,6,10,2023-01-24T06:50:56,2023-01-24T17:22:27,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Mansoura, Egypt",2023-01-25,21.6,10.4,14.8,21.6,10.4,14.8,10,76,0,0,0,,0,0,28.8,14,19.1,1019.6,23.7,22.3,168.3,14.5,6,10,2023-01-25T06:50:31,2023-01-25T17:23:21,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-26,22.1,8.2,14.4,22.1,8.2,14.4,9.9,77.1,0,0,0,,0,0,33.5,16.2,88.5,1017.6,6.5,21.2,169.8,14.5,6,10,2023-01-26T06:50:04,2023-01-26T17:24:15,0.15,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-27,24.3,8.1,15.9,24.3,7.3,15.7,6.7,60.6,0,0,0,,0,0,34.2,16.9,149.1,1012.1,71.6,21.6,158.6,13.7,6,10,2023-01-27T06:49:35,2023-01-27T17:25:09,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-28,23.5,11.4,16.5,23.5,11.4,16.5,8.8,62.6,0,0,0,,0,0,28.4,14,3.7,1013.4,78.3,22.3,170.2,14.6,6,10,2023-01-28T06:49:05,2023-01-28T17:26:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-29,22.1,9.9,14.8,22.1,9.9,14.8,9,71.8,0,0,0,,0,0,21.2,10.1,346.4,1014.6,50.6,22.3,137.2,11.8,6,10,2023-01-29T06:48:34,2023-01-29T17:26:58,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-30,20.5,8.1,13.2,20.5,7.5,13.1,7.8,73.9,0,0,0,,0,0,37.8,19.1,278.4,1013.2,25.5,22.3,175.1,15.1,7,10,2023-01-30T06:48:01,2023-01-30T17:27:52,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-31,18.2,7.8,12.3,18.2,5.4,11.7,6.9,71.5,0,0,0,rain,0,0,41,17.6,247.4,1012.4,43.5,20.5,166.1,14.1,6,10,2023-01-31T06:47:26,2023-01-31T17:28:46,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-02-01,15.7,8.4,11.9,15.7,6.1,11.3,6.6,71.4,0.3,100,8.33,rain,0,0,70.2,29.9,254.6,1014,46.2,21.3,117.8,10.4,5,10,2023-02-01T06:46:50,2023-02-01T17:29:39,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-02-02,17.3,7.2,12.2,17.3,5.8,11.7,6.4,69.5,0.1,100,4.17,rain,0,0,32.4,14.8,271.4,1022.2,50.3,21.2,82,7.1,5,10,2023-02-02T06:46:12,2023-02-02T17:30:33,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-02-03,18.6,5.8,11.6,18.6,4.9,11.4,6.6,74.7,0,0,0,,0,0,23,20.5,248.2,1022.2,31.6,21.8,81.6,7,6,10,2023-02-03T06:45:33,2023-02-03T17:31:26,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"62325099999,62345099999,remote"
"Mansoura, Egypt",2023-02-04,18.6,7.5,12.4,18.6,5.8,11.9,6.8,70.7,0,0,0,rain,0,0,31,18.4,266.8,1018,50.9,22.9,100.4,8.7,6,10,2023-02-04T06:44:53,2023-02-04T17:32:19,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
