name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mansoura, Egypt",1997-06-23,28.2,23.9,26.3,31.7,23.9,27.7,22.1,77.8,,0,0,,,,,24.1,305.5,1007.9,5.7,10,,,,,1997-06-23T05:51:48,1997-06-23T20:01:31,0.59,Clear,Clear conditions throughout the day.,clear-day,62325099999
"Mansoura, Egypt",1997-06-24,29.6,23.4,26.7,32.6,23.4,28.1,21.8,74.7,,0,0,,,,,29.5,297.2,1005.2,0,9.5,,,,,1997-06-24T05:52:04,1997-06-24T20:01:40,0.63,Clear,Clear conditions throughout the day.,clear-day,62325099999
"Mansoura, Egypt",1997-06-25,27.4,24.7,25.8,29,24.7,26.1,20.9,74.7,,0,0,,,,,29.5,309.4,1003.6,33.3,10,,,,,1997-06-25T05:52:21,1997-06-25T20:01:48,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62325099999
"Mansoura, Egypt",1997-06-26,26.7,22.9,25,26.7,22.9,25,20.2,74.4,,0,0,,,,,33.5,298.7,1005.1,35,10,,,,,1997-06-26T05:52:39,1997-06-26T20:01:55,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62325099999
"Mansoura, Egypt",1997-06-27,28.9,22.7,25.3,30.6,22.7,25.9,20.5,75.3,,0,0,,,,,24.1,327.1,1007.6,6.7,10,,,,,1997-06-27T05:52:58,1997-06-27T20:02:00,0.75,Clear,Clear conditions throughout the day.,clear-day,62325099999
"Mansoura, Egypt",1997-06-28,28.7,22.7,25.7,30.5,22.7,26.2,19.5,68.9,,0,0,,,,,18.4,329.4,1008.7,5.7,10,,,,,1997-06-28T05:53:18,1997-06-28T20:02:04,0.77,Clear,Clear conditions throughout the day.,clear-day,62325099999
"Mansoura, Egypt",1997-06-29,28.4,22.9,25.6,30.4,22.9,26.3,20.6,74.4,,0,0,,,,,20.5,326.3,1006.2,0,10,,,,,1997-06-29T05:53:39,1997-06-29T20:02:07,0.81,Clear,Clear conditions throughout the day.,clear-day,62325099999
