name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mansoura, Egypt",2023-11-16,27.8,15.8,21.5,27.1,15.8,21.4,15.5,72.4,0,0,0,,0,0,19.4,9.4,279.3,1017.1,18.3,22.3,161.7,13.9,6,10,2023-11-16T06:21:56,2023-11-16T16:56:12,0.11,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-17,28.4,17.8,22.3,28.4,17.8,22.3,16.9,74,0,0,0,rain,0,0,26.3,12.6,293,1016.8,46.8,22.9,121.7,10.4,6,10,2023-11-17T06:22:48,2023-11-17T16:55:43,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-18,28,17.5,22.3,27.3,17.5,22.2,14.6,64.1,0,0,0,rain,0,0,30.2,16.6,248.7,1013.7,42.8,22.3,136.7,11.6,6,10,2023-11-18T06:23:40,2023-11-18T16:55:16,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-19,22.2,14.5,18.4,22.2,14.5,18.4,13.1,71.8,1.6,100,25,rain,0,0,65.5,27,260,1009.9,68.2,21,73.4,6.2,6,10,2023-11-19T06:24:31,2023-11-19T16:54:51,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-11-20,22.6,14.3,18.1,22.6,14.3,18.1,12.1,70.4,0,0,0,rain,0,0,38.2,18,276.4,1015.3,67.5,22.3,72,6.2,5,10,2023-11-20T06:25:23,2023-11-20T16:54:27,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-21,24.5,13.8,18.6,24.5,13.8,18.6,12.9,71.3,0,0,0,,0,0,18.7,9.7,327.1,1018.2,27,21.8,153.2,13.1,6,10,2023-11-21T06:26:15,2023-11-21T16:54:05,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-22,25.6,14.8,19.1,25.6,14.8,19.1,12.9,70.8,0,0,0,,0,0,29.5,13.3,83.6,1015.3,57,21.8,141.5,12,6,10,2023-11-22T06:27:07,2023-11-22T16:53:44,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-23,26.4,12,18.8,26.4,12,18.8,12,68.9,0,0,0,,0,0,14.4,9.4,295.6,1014.4,4.6,21.8,158,13.6,6,10,2023-11-23T06:27:58,2023-11-23T16:53:26,0.36,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-24,26.1,13.1,19,26.1,13.1,19,12.8,71.4,0,0,0,,0,0,13,11.2,187,1011.6,33,21.1,155.8,13.3,6,10,2023-11-24T06:28:50,2023-11-24T16:53:09,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-25,26.8,13.4,19.2,26.2,13.4,19.2,7.8,50.4,0,0,0,,0,0,39.6,18.7,190.1,1007.4,83.6,22.9,110.8,9.6,4,10,2023-11-25T06:29:41,2023-11-25T16:52:53,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-26,24.3,12.7,18.2,24.3,12.7,18.2,7.2,49.8,0,0,0,rain,0,0,55.4,27,229.9,1011.4,8.4,22.2,156.6,13.4,6,10,2023-11-26T06:30:32,2023-11-26T16:52:40,0.47,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-27,21.3,13.2,16.9,21.3,13.2,16.9,9.9,65.1,0,0,0,rain,0,0,38.9,18.7,289,1018.5,44,21.8,53.2,4.7,3,10,2023-11-27T06:31:23,2023-11-27T16:52:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-28,21.8,10.4,15.9,21.8,10.4,15.9,8.5,64,0,0,0,,0,0,17.6,8.3,338.2,1020.3,47.7,21.8,148.2,12.7,6,10,2023-11-28T06:32:14,2023-11-28T16:52:18,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-29,23.7,12.1,17,23.7,12.1,17,11,70.1,0,0,0,,0,0,26.3,14,59.1,1018.3,20.3,22.3,149.9,13.1,6,10,2023-11-29T06:33:04,2023-11-29T16:52:10,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-11-30,24.3,13,17.7,24.3,13,17.7,12.5,73.6,0,0,0,,0,0,32.8,17.3,19.7,1019.8,57,22.3,145.5,12.5,6,10,2023-11-30T06:33:54,2023-11-30T16:52:03,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-01,24.6,14.2,18.5,24.6,14.2,18.5,13.2,74,0,0,0,,0,0,32.8,16.9,22.7,1021.4,21.4,21.8,144.8,12.5,6,10,2023-12-01T06:34:43,2023-12-01T16:51:58,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-02,24.3,14.5,18.3,24.3,14.5,18.3,13.5,75.4,0,0,0,,0,0,33.5,17.3,17.7,1020.4,32.7,22.3,148.5,12.9,6,10,2023-12-02T06:35:32,2023-12-02T16:51:55,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-03,25.9,13.9,18.9,25.9,13.9,18.9,15.4,81.7,0,0,0,,0,0,30.2,15.1,41,1017.6,46,21.8,132.3,11.5,6,10,2023-12-03T06:36:21,2023-12-03T16:51:54,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-04,26.9,13.2,19.5,27,13.2,19.5,15.6,81,0,0,0,,0,0,20.5,10.1,294.3,1015.7,47.4,21.1,149.5,13.1,6,10,2023-12-04T06:37:08,2023-12-04T16:51:54,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-05,24.6,13.5,18,24.6,13.5,18,14.4,81.9,0,0,0,,0,0,24.1,12.2,305,1014.6,47.7,21.7,144.1,12.5,6,10,2023-12-05T06:37:56,2023-12-05T16:51:57,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-06,24.2,13.3,17.9,24.2,13.3,17.9,12.2,72.5,0,0,0,,0,0,34.2,18.7,246.4,1016,25.1,22.3,144.2,12.5,6,10,2023-12-06T06:38:42,2023-12-06T16:52:01,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-07,22.7,12.7,16.7,22.7,12.7,16.7,10,66.5,0,0,0,,0,0,20.9,13,227.7,1017.6,65.3,22.3,109,9.5,5,10,2023-12-07T06:39:28,2023-12-07T16:52:06,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-08,21.2,11.5,15.9,21.2,11.5,15.9,9.6,67.2,0,0,0,,0,0,24.5,11.5,246,1013.1,83.6,21.8,81,7,4,10,2023-12-08T06:40:13,2023-12-08T16:52:14,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-09,22.2,11.5,15.7,22.2,11.5,15.7,8.5,63.5,0,0,0,,0,0,27.7,13.3,236.9,1013.9,39.4,22.9,112.2,9.6,5,10,2023-12-09T06:40:58,2023-12-09T16:52:23,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-10,23.6,10,16.2,23.6,10,16.2,9.9,69.5,0,0,0,,0,0,24.8,11.5,87.7,1015.5,28,21.2,145.2,12.5,6,10,2023-12-10T06:41:41,2023-12-10T16:52:34,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-11,24.6,12.2,17.4,24.6,12.2,17.4,9.2,62.9,0,0,0,,0,0,27.7,13.3,220.7,1013.5,39,21.2,144.2,12.5,6,10,2023-12-11T06:42:24,2023-12-11T16:52:46,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-12,20.7,10.4,15.5,20.7,10.4,15.5,12,80.7,0.4,100,16.67,rain,0,0,30.2,14.8,284.7,1015.6,40.7,22.9,114.8,9.8,6,10,2023-12-12T06:43:06,2023-12-12T16:53:00,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-12-13,22.5,13.6,17.2,22.5,13.6,17.2,14.2,84.1,0,0,0,rain,0,0,37.8,17.6,264.5,1018.4,68.8,21.7,88.5,7.6,5,10,2023-12-13T06:43:47,2023-12-13T16:53:16,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-14,23.8,14.9,18.5,23.8,14.9,18.5,15.2,82.9,0,0,0,,0,0,19.8,8.6,242,1021.5,57,21.7,115.5,10.1,6,10,2023-12-14T06:44:26,2023-12-14T16:53:34,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-15,24.5,12.9,18.2,24.5,12.9,18.2,13.3,75.8,0,0,0,,0,0,25.2,11.9,93.6,1020.9,17.7,21.8,140.5,12.2,6,10,2023-12-15T06:45:05,2023-12-15T16:53:53,0.09,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2023-12-16,24.7,12.8,17.7,24.7,12.8,17.7,13.2,78.1,0,0,0,,0,0,20.5,10.1,8.5,1019.6,50.3,21.8,143.6,12.6,6,10,2023-12-16T06:45:43,2023-12-16T16:54:14,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
