name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mansoura, Egypt",2002-06-13,26.1,22.2,24.4,26.1,22.2,24.4,18.2,68.6,,0,0,,,,,18.4,310.6,1010,40,10,,,,,2002-06-13T05:50:19,2002-06-13T19:58:45,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62325099999
"Mansoura, Egypt",2002-06-14,26.2,22.4,24.2,26.2,22.4,24.2,19.3,74.2,,0,0,,,,,14.8,330.8,1008.8,47.1,10,,,,,2002-06-14T05:50:21,2002-06-14T19:59:07,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62325099999
"Mansoura, Egypt",2002-06-15,26.7,20.6,23.8,26.7,20.6,23.8,19.8,79,,0,0,,,,,14.8,311.7,1009.6,4.3,8.6,,,,,2002-06-15T05:50:26,2002-06-15T19:59:28,0.16,Clear,Clear conditions throughout the day.,clear-day,62325099999
"Mansoura, Egypt",2002-06-16,27.7,21.4,24.5,29.4,21.4,24.8,20.4,78.4,,0,0,,,,,16.6,295.1,1010,7.1,9.4,,,,,2002-06-16T05:50:31,2002-06-16T19:59:47,0.19,Clear,Clear conditions throughout the day.,clear-day,62325099999
"Mansoura, Egypt",2002-06-17,28.2,22.6,25.5,30.3,22.6,26.3,20,72.2,,0,0,,,,,18.4,297.6,1010.2,0,10,,,,,2002-06-17T05:50:38,2002-06-17T20:00:06,0.23,Clear,Clear conditions throughout the day.,clear-day,62325099999
"Mansoura, Egypt",2002-06-18,27.4,20.7,25.1,29.4,20.7,26.1,20.7,77.2,,0,0,,,,,20.5,290,1010.1,0,10,,,,,2002-06-18T05:50:46,2002-06-18T20:00:23,0.25,Clear,Clear conditions throughout the day.,clear-day,62325099999
"Mansoura, Egypt",2002-06-19,27.2,23.6,25.5,29.4,23.6,25.9,21.6,79.4,,0,0,,,,,22.3,286.8,1007.8,26.7,10,,,,,2002-06-19T05:50:55,2002-06-19T20:00:39,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62325099999
"Mansoura, Egypt",2002-06-20,27.9,23.4,25.7,29.1,23.4,26.2,19.8,70.6,,0,0,,,,,14.8,346.1,1010,5.7,10,,,,,2002-06-20T05:51:06,2002-06-20T20:00:53,0.34,Clear,Clear conditions throughout the day.,clear-day,62325099999
"Mansoura, Egypt",2002-06-21,26.7,24.1,25.6,26.7,24.1,25.6,17.8,62,,0,0,,,,,16.6,315.9,1009.6,2.5,10,,,,,2002-06-21T05:51:18,2002-06-21T20:01:07,0.37,Clear,Clear conditions throughout the day.,clear-day,62325099999
"Mansoura, Egypt",2002-06-22,28.9,21.2,25.1,30.1,21.2,25.6,19.2,70.8,,0,0,,,,,13,297.7,1010.1,4.3,9.7,,,,,2002-06-22T05:51:31,2002-06-22T20:01:19,0.41,Clear,Clear conditions throughout the day.,clear-day,62325099999
